SubjectID,Age,FootSide,Foot_Length_mm,Foot_Breadth_mm,Ball_Breadth_mm,Heel_Breadth_mm,Toe1_Length_mm,Toe2_Length_mm,Toe3_Length_mm,Toe4_Length_mm,Toe5_Length_mm,Midfoot_Width_mm,Foot_Index_pct,Arch_Index,Heel_Angle_deg,Toe_Angle_deg,Sex
S00014,27,Left,263.2,99.4,97.3,73.6,41.4,37.7,34.4,31.4,32.4,29.6,37.77,0.11,20.2,9.5,1
S00015,26,Left,269.2,97.8,85.6,70.3,41.2,37.3,35.1,31.8,29.3,28.8,36.33,0.11,23.5,13.3,1
S00016,18,Right,269.8,104.5,98.9,63.8,41.7,41.9,35.6,35.2,33.3,30.2,38.73,0.11,24.0,9.7,1
S00017,29,Left,272.4,98.5,86.1,67.4,40.3,38.8,38.1,37.2,30.8,30.1,36.16,0.11,21.8,8.4,1
S00018,22,Right,245.2,88.3,80.4,57.5,37.3,36.1,32.3,31.0,28.2,30.2,36.01,0.12,18.8,10.6,0
S00019,31,Left,275.3,101.1,97.5,65.2,45.5,40.7,39.6,32.1,28.3,30.4,36.72,0.11,21.4,11.3,1
S00020,40,Right,241.5,115.2,95.2,64.7,38.9,36.0,31.7,30.3,25.4,30.2,47.7,0.12,19.9,9.1,1
S00021,25,Left,252.0,97.3,72.8,62.1,40.5,36.9,34.7,28.8,22.9,29.9,38.61,0.12,23.9,6.5,0
S00022,18,Right,286.0,111.6,95.4,64.4,44.7,42.2,41.1,34.6,30.6,34.7,39.02,0.12,21.7,10.7,1
S00023,29,Right,269.3,101.5,87.9,66.4,44.1,41.8,37.6,35.0,31.9,30.3,37.69,0.11,21.6,14.6,1
S00024,18,Right,271.2,102.6,86.9,60.3,43.8,39.1,35.8,34.9,32.4,30.5,37.83,0.11,21.0,13.0,1
S00025,18,Left,272.7,108.6,88.6,74.4,44.3,41.2,41.4,37.1,31.7,32.7,39.82,0.12,24.8,11.5,1
S00026,26,Left,246.5,91.9,85.4,58.2,38.5,38.2,35.4,27.6,28.6,31.8,37.28,0.13,24.7,11.0,0
S00027,18,Right,277.6,109.9,89.6,70.2,42.9,39.7,38.1,30.3,30.9,33.0,39.59,0.12,17.1,14.2,1
S00028,20,Right,255.1,97.6,83.2,62.3,38.3,39.6,32.6,32.1,26.3,30.1,38.26,0.12,19.9,6.8,0
S00029,27,Right,238.1,91.6,82.4,57.5,39.5,35.5,33.9,31.2,25.3,30.8,38.47,0.13,20.0,9.7,0
S00030,32,Right,276.0,103.5,95.2,64.8,44.1,41.8,37.8,35.0,28.3,29.8,37.5,0.11,20.3,11.4,1
S00031,33,Right,240.7,88.1,76.1,62.2,39.3,34.2,32.9,28.8,25.5,28.4,36.6,0.12,17.3,8.6,0
S00032,20,Right,253.3,108.8,93.8,65.3,40.8,39.2,35.3,29.9,29.4,29.7,42.95,0.12,22.7,11.4,1
S00033,23,Right,279.2,97.4,93.8,67.4,43.2,41.1,36.2,35.9,27.7,33.1,34.89,0.12,21.8,11.1,1
S00034,18,Right,262.4,87.9,86.1,59.1,43.3,36.6,38.7,29.6,28.4,29.9,33.5,0.11,17.9,8.3,0
S00035,26,Left,245.9,95.5,84.4,58.5,39.0,36.7,36.4,31.6,25.7,27.7,38.84,0.11,17.6,9.6,0
S00036,20,Left,230.9,104.1,82.7,62.5,37.3,32.6,31.4,29.9,25.1,31.4,45.08,0.14,23.1,11.8,0
S00037,22,Left,257.0,99.6,94.0,61.9,42.4,38.2,34.3,31.2,30.1,32.8,38.75,0.13,21.3,13.2,1
S00038,30,Left,256.0,114.2,91.1,65.0,39.4,39.9,32.6,31.8,27.6,33.1,44.61,0.13,20.3,12.8,1
S00039,18,Right,272.3,98.2,82.0,58.1,44.4,39.6,38.2,33.7,30.3,28.0,36.06,0.1,16.8,8.5,0
S00040,24,Left,251.5,102.3,95.5,69.5,39.0,32.1,35.1,29.0,23.6,25.3,40.68,0.1,24.4,12.3,1
S00041,23,Right,286.7,112.9,96.7,64.8,46.3,41.0,37.4,35.3,34.4,32.5,39.38,0.11,21.9,13.6,1
S00042,26,Right,260.4,103.8,90.4,73.3,40.4,39.8,34.8,30.2,29.1,31.8,39.86,0.12,23.7,6.8,1
S00043,18,Left,281.5,102.2,100.8,68.4,45.0,41.7,36.4,34.8,30.2,31.4,36.31,0.11,17.5,12.8,1
S00044,31,Left,227.7,92.6,84.7,60.7,37.9,34.5,30.7,27.9,26.0,31.5,40.67,0.14,20.4,9.1,0
S00045,19,Left,252.7,104.6,94.3,65.3,40.5,37.8,33.3,29.4,30.4,32.2,41.39,0.13,20.4,12.4,1
S00046,18,Left,239.4,98.8,85.5,56.5,41.4,37.1,32.6,29.2,26.7,30.0,41.27,0.12,13.9,14.2,0
S00047,20,Right,270.0,106.7,92.1,65.1,41.2,40.2,39.2,32.8,30.7,29.5,39.52,0.11,22.6,14.5,1
S00048,29,Right,228.6,98.5,87.1,61.5,36.6,34.5,33.7,27.9,25.4,26.8,43.09,0.12,17.4,10.2,0
S00049,31,Left,241.9,94.4,85.3,57.2,38.5,35.9,32.7,29.0,27.2,27.2,39.02,0.11,16.5,11.4,0
S00050,28,Right,273.1,110.1,93.2,63.9,44.6,38.8,36.4,34.4,33.0,31.1,40.31,0.11,22.1,13.5,1
S00051,25,Right,252.6,101.7,86.5,63.2,39.4,36.6,34.1,35.1,30.4,29.3,40.26,0.12,20.8,11.3,0
S00052,39,Left,241.8,93.0,84.5,60.8,38.4,33.6,33.7,26.7,22.6,30.5,38.46,0.13,21.5,9.9,0
S00053,18,Left,236.5,86.0,84.9,59.0,38.1,33.1,33.4,26.3,25.8,29.2,36.36,0.12,20.2,10.3,0
S00054,29,Left,240.7,97.1,83.6,62.6,36.9,37.6,32.7,27.6,27.8,28.6,40.34,0.12,14.9,10.7,0
S00055,31,Right,260.4,87.9,85.5,59.2,40.1,38.7,35.6,35.1,30.1,29.4,33.76,0.11,17.2,7.9,0
S00056,28,Left,235.3,95.4,87.7,59.6,39.6,35.7,28.4,28.3,24.8,30.0,40.54,0.13,12.1,15.1,0
S00057,28,Left,271.8,100.1,96.1,67.1,46.9,38.3,38.2,33.5,34.5,32.1,36.83,0.12,23.0,11.8,1
S00058,20,Left,263.6,105.8,94.2,70.8,47.0,41.1,35.0,31.8,30.8,27.6,40.14,0.1,21.1,11.5,1
S00059,28,Left,277.4,103.9,92.5,67.2,46.3,42.7,36.2,34.3,32.3,33.1,37.45,0.12,20.0,13.4,1
S00060,26,Left,249.7,99.4,96.7,68.8,39.3,35.2,32.2,30.3,28.8,32.9,39.81,0.13,20.5,9.7,1
S00061,26,Right,260.1,105.2,85.1,66.5,41.6,34.1,35.4,30.4,24.8,34.2,40.45,0.13,18.8,10.7,1
S00062,20,Left,280.4,109.0,89.4,68.1,46.1,43.2,38.0,33.1,29.7,29.0,38.87,0.1,21.8,11.5,1
S00063,37,Left,255.7,94.6,89.1,55.9,41.1,39.5,34.6,33.0,27.5,29.3,37.0,0.12,21.3,8.9,0
S00064,36,Right,291.0,110.2,91.0,63.0,45.8,44.0,40.1,38.6,33.8,32.9,37.87,0.11,23.0,9.2,1
S00065,23,Left,282.7,103.7,91.9,63.8,47.3,44.2,40.5,34.9,31.0,28.9,36.68,0.1,23.2,12.3,1
S00066,42,Right,250.3,83.8,83.0,63.4,43.6,37.6,32.4,29.4,27.8,29.6,33.48,0.12,25.6,11.9,0
S00067,25,Left,266.0,101.8,93.1,62.2,38.8,37.1,38.3,34.4,30.1,28.1,38.27,0.11,19.9,10.3,1
S00068,24,Right,239.9,92.7,77.8,59.0,39.6,33.4,34.4,30.6,25.0,28.7,38.64,0.12,24.8,11.5,0
S00069,25,Right,267.1,107.1,91.9,61.2,39.1,37.6,35.1,37.2,30.9,32.6,40.1,0.12,20.1,12.1,1
S00070,38,Left,250.9,99.9,87.0,59.4,40.6,38.7,33.3,31.2,27.1,25.8,39.82,0.1,22.7,14.1,0
S00071,19,Right,256.6,104.4,81.3,62.4,43.5,37.7,32.9,33.9,28.6,30.6,40.69,0.12,19.7,13.5,0
S00072,18,Right,274.1,103.6,89.1,63.6,45.2,40.6,37.0,33.2,29.5,33.1,37.8,0.12,21.0,9.3,1
S00073,29,Right,267.5,101.7,97.4,69.8,39.5,40.1,35.4,35.6,28.3,28.3,38.02,0.11,21.9,10.2,1
S00074,30,Left,263.5,95.4,92.0,66.2,39.0,39.4,36.0,31.9,30.0,29.1,36.2,0.11,17.8,9.9,0
S00075,32,Left,247.2,107.7,84.9,60.4,39.1,37.9,31.8,33.9,26.9,28.2,43.57,0.11,22.9,8.2,0
S00076,29,Left,248.0,95.4,86.6,60.6,37.9,36.8,31.9,30.9,26.3,34.1,38.47,0.14,19.9,7.2,0
S00077,24,Left,251.2,92.4,81.9,60.5,39.6,36.1,31.7,32.8,27.4,26.8,36.78,0.11,19.2,11.1,0
S00078,25,Left,269.4,100.9,96.4,69.0,42.5,40.1,37.6,34.2,29.7,33.9,37.45,0.13,23.7,11.1,1
S00079,22,Left,263.3,107.9,93.9,68.9,42.6,40.7,37.5,32.2,27.6,30.2,40.98,0.12,23.6,11.3,1
S00080,20,Right,268.5,103.9,97.0,68.0,47.2,38.1,37.5,32.3,27.7,31.0,38.7,0.12,22.4,17.8,1
S00081,23,Left,231.4,94.1,77.0,56.9,35.6,35.3,30.9,31.4,28.2,32.3,40.67,0.14,17.3,11.0,0
S00082,22,Left,220.3,100.5,91.2,54.0,36.0,33.0,28.7,25.2,26.0,29.4,45.62,0.13,20.8,8.8,0
S00083,20,Left,240.5,100.1,90.6,63.8,37.7,37.1,35.3,25.7,25.7,31.6,41.62,0.13,22.6,15.8,1
S00084,18,Left,283.9,102.5,89.9,67.2,45.6,39.9,38.3,36.0,32.0,32.0,36.1,0.11,22.9,11.0,1
S00085,21,Right,255.6,101.8,90.1,73.4,41.5,39.1,36.1,31.3,26.9,30.2,39.83,0.12,26.8,12.4,1
S00086,32,Left,296.5,107.0,96.7,66.2,45.8,44.2,43.6,36.1,32.6,33.9,36.09,0.11,21.1,13.0,1
S00087,30,Right,242.6,88.3,83.8,53.9,36.5,39.1,30.3,28.1,26.8,29.2,36.4,0.12,19.3,6.0,0
S00088,30,Left,260.0,91.1,86.1,61.3,43.8,37.0,37.3,31.2,25.8,30.4,35.04,0.12,23.9,15.2,0
S00089,18,Left,253.4,95.1,83.5,52.8,41.8,39.4,32.4,32.5,26.7,28.3,37.53,0.11,23.9,8.0,0
S00090,19,Right,279.9,111.1,98.5,65.4,46.0,38.0,36.7,37.4,29.9,27.3,39.69,0.1,28.0,13.1,1
S00091,29,Right,258.2,107.4,90.8,66.4,38.4,39.9,35.5,32.6,29.4,31.2,41.6,0.12,20.5,14.3,1
S00092,25,Left,226.9,93.9,84.2,61.6,36.7,31.7,32.6,28.5,25.3,29.0,41.38,0.13,18.4,10.4,0
S00093,27,Left,224.0,88.9,86.3,57.8,35.7,35.7,32.9,31.3,27.6,33.8,39.69,0.15,21.3,8.2,0
S00094,18,Left,249.0,99.6,84.0,56.4,41.6,35.3,34.3,30.8,27.1,28.0,40.0,0.11,21.9,2.8,0
S00095,31,Right,234.0,96.0,89.4,54.8,35.9,32.8,33.2,28.4,25.1,29.3,41.03,0.12,17.4,7.1,0
S00096,33,Left,286.4,103.5,92.0,71.8,43.3,40.1,36.8,35.4,32.5,32.5,36.14,0.11,29.7,7.5,1
S00097,28,Right,238.3,89.7,85.2,59.0,39.9,36.0,32.1,27.4,23.2,29.6,37.64,0.12,17.8,11.3,0
S00098,18,Right,265.7,98.5,102.7,63.6,44.5,36.6,37.0,32.5,27.9,31.4,37.07,0.12,22.2,10.4,1
S00099,19,Right,251.1,100.8,92.1,65.5,37.4,35.6,36.3,29.0,25.7,28.3,40.14,0.11,21.7,15.8,1
S00100,24,Left,261.5,108.2,92.5,61.1,40.8,36.5,35.6,30.2,30.7,30.8,41.38,0.12,21.5,13.3,1
S00101,30,Right,269.8,105.9,93.0,61.8,48.4,41.5,37.5,35.9,31.1,29.6,39.25,0.11,25.7,13.7,1
S00102,21,Left,213.7,92.4,82.2,57.1,33.6,29.9,29.4,27.6,24.7,28.7,43.24,0.13,26.0,12.3,0
S00103,24,Right,264.2,109.9,90.1,68.2,43.9,36.8,36.0,32.6,27.7,31.2,41.6,0.12,20.2,14.7,1
S00104,21,Left,248.5,96.2,83.7,60.4,42.4,37.4,33.1,29.9,27.0,32.3,38.71,0.13,19.5,10.0,0
S00105,22,Right,258.2,86.7,82.2,60.5,37.1,41.4,33.8,30.3,28.0,29.3,33.58,0.11,17.7,12.0,0
S00106,27,Right,289.0,103.0,96.0,68.9,47.7,42.9,39.9,36.4,30.3,27.5,35.64,0.1,18.3,11.8,1
S00107,20,Right,260.6,99.7,84.9,69.6,42.7,39.9,33.3,29.4,25.9,29.2,38.26,0.11,26.7,14.0,1
S00108,22,Left,236.0,91.7,88.0,58.2,36.3,33.9,33.9,29.3,25.6,28.8,38.86,0.12,23.9,8.5,0
S00109,32,Left,272.5,107.2,97.1,64.8,43.3,41.7,39.8,32.6,31.7,29.6,39.34,0.11,28.4,11.2,1
S00110,28,Left,289.7,99.1,99.8,64.8,48.5,42.8,41.0,36.0,27.6,24.8,34.21,0.09,22.6,11.5,1
S00111,27,Right,267.0,103.3,93.9,65.5,39.5,38.1,40.2,31.1,26.0,31.3,38.69,0.12,21.7,11.4,1
S00112,25,Left,262.0,106.0,88.6,67.0,45.4,40.7,38.6,33.2,31.3,29.6,40.46,0.11,20.1,6.5,1
S00113,32,Left,263.5,103.1,84.5,58.3,42.0,37.0,33.7,33.5,31.1,28.7,39.13,0.11,14.1,10.7,0
S00114,37,Left,264.4,91.9,84.3,62.3,42.4,36.6,36.3,32.0,30.9,29.3,34.76,0.11,20.3,7.9,0
S00115,23,Right,256.6,88.5,84.7,61.0,41.4,40.3,39.6,33.0,30.6,34.1,34.49,0.13,17.0,10.3,0
S00116,22,Left,235.6,98.5,93.3,57.0,37.1,35.3,33.3,28.3,20.6,31.7,41.81,0.14,22.3,6.5,0
S00117,21,Right,263.8,80.5,84.9,64.7,44.8,39.7,34.9,33.6,28.4,28.0,30.52,0.11,23.2,8.9,0
S00118,31,Right,273.0,104.9,91.2,69.0,40.6,40.4,39.8,33.0,28.4,32.5,38.42,0.12,22.5,13.5,1
S00119,25,Right,216.3,99.0,88.2,60.4,34.8,30.7,28.3,24.2,23.4,30.6,45.77,0.14,24.1,9.5,0
S00120,27,Left,238.2,87.5,90.0,58.5,36.0,35.0,32.5,26.6,26.8,26.9,36.73,0.11,25.1,11.0,0
S00121,22,Right,236.1,98.1,83.3,66.7,40.2,36.2,28.9,30.3,25.3,27.0,41.55,0.11,18.9,8.3,0
S00122,28,Left,260.4,93.7,77.8,60.8,41.9,37.9,35.2,32.6,29.4,29.6,35.98,0.11,19.3,10.8,0
S00123,23,Right,277.7,101.7,98.3,65.9,46.8,43.4,36.2,30.6,26.3,29.4,36.62,0.11,27.7,11.2,1
S00124,25,Left,274.1,100.0,94.1,62.6,40.5,41.3,36.5,34.4,30.1,29.0,36.48,0.11,21.9,9.5,1
S00125,33,Right,253.7,97.8,97.6,71.5,38.6,37.3,34.1,31.2,31.6,28.8,38.55,0.11,21.1,15.0,1
S00126,23,Left,263.0,104.1,91.1,72.9,39.2,44.1,35.0,32.9,27.7,29.8,39.58,0.11,19.6,13.2,1
S00127,18,Left,249.4,95.1,80.4,58.6,41.7,35.1,33.6,31.4,25.6,31.2,38.13,0.12,22.1,14.0,0
S00128,29,Left,282.2,93.7,87.0,58.1,45.7,41.3,37.6,38.6,33.7,29.3,33.2,0.1,13.1,9.3,0
S00129,41,Left,267.2,106.6,91.4,61.3,43.1,36.3,35.1,31.8,28.3,28.4,39.9,0.11,19.8,14.3,1
S00130,31,Right,267.0,98.0,82.4,59.2,46.2,37.7,33.0,33.7,30.0,30.3,36.7,0.11,22.0,13.5,0
S00131,18,Right,255.6,99.1,108.4,65.4,40.5,37.6,33.2,32.1,23.6,33.2,38.77,0.13,18.6,11.2,1
S00132,29,Left,272.9,102.6,96.4,64.1,41.0,37.0,32.9,32.8,29.4,29.7,37.6,0.11,25.7,14.5,1
S00133,22,Left,248.5,111.4,92.9,67.2,41.9,36.3,36.4,31.8,28.2,29.7,44.83,0.12,23.5,11.1,1
S00134,27,Right,250.2,102.8,97.9,67.8,37.6,36.2,33.8,28.1,28.9,30.5,41.09,0.12,17.8,9.1,1
S00135,31,Left,240.4,97.6,88.5,57.0,36.4,38.4,33.9,29.4,26.5,28.2,40.6,0.12,20.6,8.1,0
S00136,30,Right,276.1,104.6,99.0,68.2,43.7,39.1,39.1,30.6,31.8,28.8,37.88,0.1,25.8,12.3,1
S00137,28,Right,246.0,97.6,83.7,56.1,39.8,36.3,30.8,26.9,26.8,32.2,39.67,0.13,21.0,8.7,0
S00138,31,Right,279.7,96.4,81.6,64.0,47.4,44.9,42.1,36.1,30.0,28.6,34.47,0.1,19.1,9.2,0
S00139,32,Right,270.0,106.9,95.5,69.1,42.5,39.1,39.4,30.5,29.2,31.3,39.59,0.12,23.8,12.3,1
S00140,19,Right,239.7,105.3,81.7,66.3,38.4,33.2,34.9,29.9,28.0,31.4,43.93,0.13,21.0,8.8,0
S00141,30,Right,245.0,92.4,88.1,58.7,39.6,36.5,34.2,28.6,29.0,26.2,37.71,0.11,18.7,10.0,0
S00142,29,Left,282.2,111.1,94.4,63.9,43.5,45.2,38.7,38.4,32.2,32.5,39.37,0.12,24.8,9.6,1
S00143,26,Left,255.2,107.2,96.2,67.6,41.3,34.9,36.1,30.6,28.0,30.1,42.01,0.12,22.4,13.1,1
S00144,18,Right,275.7,100.7,102.7,67.6,43.8,42.7,38.0,35.0,35.8,30.4,36.53,0.11,21.0,12.2,1
S00145,31,Left,251.9,109.7,94.5,63.4,39.3,38.5,36.5,31.2,25.6,33.1,43.55,0.13,24.1,14.6,1
S00146,26,Left,279.9,109.8,92.9,73.2,44.1,41.6,40.6,35.8,25.8,31.0,39.23,0.11,24.6,9.3,1
S00147,29,Left,249.7,91.8,87.1,60.0,40.5,37.0,35.3,29.2,25.6,31.9,36.76,0.13,26.3,10.0,0
S00148,35,Right,235.0,100.5,88.5,58.5,38.5,32.3,32.3,29.9,29.1,27.5,42.77,0.12,16.2,8.2,0
S00149,18,Right,286.0,102.0,98.4,67.0,45.3,41.0,35.1,36.7,27.7,29.4,35.66,0.1,23.3,11.0,1
S00150,25,Right,274.8,106.2,96.8,66.6,47.1,45.6,38.7,34.5,31.6,28.8,38.65,0.1,22.5,10.5,1
S00151,28,Right,236.3,92.0,84.7,59.5,36.1,39.5,33.5,29.7,26.2,31.4,38.93,0.13,26.2,11.4,0
S00152,25,Left,284.1,112.5,90.7,62.6,46.1,41.0,42.4,35.3,29.4,28.7,39.6,0.1,25.3,10.9,1
S00153,25,Right,281.5,97.9,97.5,62.9,46.8,40.1,35.2,34.9,33.6,29.1,34.78,0.1,26.8,13.3,1
S00154,25,Left,264.1,101.9,91.1,66.0,42.8,38.0,35.1,33.9,25.9,30.2,38.58,0.11,17.0,12.2,1
S00155,18,Left,255.7,103.9,86.4,63.4,41.2,34.2,32.6,29.9,27.6,33.2,40.63,0.13,21.1,9.8,0
S00156,32,Left,249.2,114.8,93.8,64.8,40.6,38.9,33.9,33.1,29.6,28.8,46.07,0.12,20.0,13.9,1
S00157,18,Right,243.2,103.6,81.1,59.3,40.5,32.8,35.5,28.2,25.9,29.6,42.6,0.12,19.9,11.6,0
S00158,18,Right,246.1,99.9,93.2,61.7,42.1,34.3,37.2,27.3,26.1,30.1,40.59,0.12,15.2,8.1,0
S00159,18,Left,266.3,103.2,93.3,66.5,46.1,36.6,32.9,29.8,27.4,32.4,38.75,0.12,24.3,10.8,1
S00160,24,Left,248.5,93.2,84.3,52.5,39.4,38.5,32.7,30.9,25.8,29.7,37.51,0.12,19.4,8.1,0
S00161,32,Right,281.1,104.7,93.5,70.1,42.1,42.1,36.6,33.1,33.6,29.0,37.25,0.1,21.6,15.9,1
S00162,30,Left,240.4,89.5,86.4,57.0,38.9,35.8,32.9,28.7,30.4,29.7,37.23,0.12,19.2,10.5,0
S00163,20,Right,240.4,98.2,85.6,59.4,38.3,33.8,29.7,30.6,28.8,28.3,40.85,0.12,24.8,9.6,0
S00164,18,Left,242.1,102.3,87.0,61.3,36.7,37.0,31.4,28.1,26.0,27.8,42.26,0.12,19.3,7.1,0
S00165,30,Left,283.5,101.8,93.4,65.8,45.7,43.8,39.5,36.2,25.6,27.8,35.91,0.1,19.6,10.7,1
S00166,30,Right,244.9,99.9,86.6,61.4,36.7,35.4,35.4,29.8,27.2,25.9,40.79,0.11,18.4,12.2,0
S00167,18,Left,278.6,101.3,97.5,67.4,47.2,41.1,36.6,35.1,29.6,29.8,36.36,0.11,24.5,15.7,1
S00168,23,Right,268.3,104.2,94.1,67.2,42.1,42.1,34.3,31.9,35.5,28.9,38.84,0.11,17.9,13.5,1
S00169,18,Left,267.2,101.7,91.0,68.2,41.5,39.2,35.4,34.0,25.7,31.5,38.06,0.12,27.2,14.5,1
S00170,21,Right,248.8,91.6,86.6,60.4,43.5,34.4,33.9,31.6,26.9,26.3,36.82,0.11,23.8,10.7,0
S00171,18,Right,250.3,97.5,80.2,57.7,40.7,33.4,33.7,29.5,29.8,29.7,38.95,0.12,23.6,9.9,0
S00172,24,Right,265.6,107.5,96.1,71.0,42.3,39.9,35.3,33.3,30.1,30.8,40.47,0.12,16.6,12.7,1
S00173,27,Left,236.8,95.3,82.9,58.1,38.5,36.7,31.0,27.2,24.8,26.9,40.24,0.11,21.8,10.0,0
S00174,36,Right,253.0,96.7,93.1,64.0,36.4,36.8,33.5,31.1,26.6,34.7,38.22,0.14,23.6,11.0,1
S00175,24,Left,262.0,98.3,86.0,58.8,43.2,36.1,35.8,30.2,26.3,27.6,37.52,0.1,21.1,8.6,0
S00176,18,Right,255.8,110.0,91.2,67.4,40.2,35.6,34.5,32.8,25.7,32.6,43.0,0.13,19.5,11.0,1
S00177,28,Left,237.0,96.4,87.0,57.6,37.5,35.6,32.5,28.6,26.9,27.5,40.68,0.12,16.3,10.6,0
S00178,18,Left,272.9,100.0,88.3,67.4,46.4,40.0,35.5,34.2,34.0,31.9,36.64,0.12,23.6,14.4,1
S00179,27,Right,235.6,101.2,88.5,65.7,36.9,37.2,30.1,29.0,25.0,30.2,42.95,0.13,21.7,8.2,0
S00180,28,Right,282.8,103.7,99.1,68.5,42.8,44.7,41.5,36.8,29.4,30.4,36.67,0.11,22.4,10.6,1
S00181,35,Left,271.7,99.1,95.6,69.5,44.6,39.6,37.5,34.2,31.3,30.8,36.47,0.11,24.8,14.9,1
S00182,23,Right,276.9,101.7,95.5,70.2,43.9,41.1,38.6,35.4,32.4,29.0,36.73,0.1,20.4,11.0,1
S00183,19,Left,223.4,95.2,85.0,62.8,36.3,32.0,30.1,28.6,20.9,27.1,42.61,0.12,22.0,12.4,0
S00184,31,Left,243.7,100.6,87.7,64.2,38.5,38.4,32.8,32.7,26.8,30.4,41.28,0.12,24.4,9.6,0
S00185,26,Left,285.5,108.1,95.5,66.6,43.9,45.5,38.7,34.5,33.7,30.9,37.86,0.11,24.9,11.2,1
S00186,31,Right,257.6,80.7,83.8,64.6,42.1,40.4,31.4,29.7,29.4,32.1,31.33,0.12,16.6,9.2,0
S00187,27,Right,227.6,88.6,80.4,57.9,36.6,34.1,32.9,30.2,26.9,28.5,38.93,0.12,14.5,6.3,0
S00188,31,Left,254.2,95.0,89.4,67.1,38.1,37.2,30.3,31.9,28.7,28.9,37.37,0.11,18.0,5.9,0
S00189,27,Right,262.5,91.6,90.6,66.8,41.1,38.5,37.2,31.3,30.7,29.0,34.9,0.11,14.8,7.4,0
S00190,22,Right,270.4,104.4,87.7,65.2,44.4,37.9,34.4,32.9,31.1,34.6,38.61,0.13,24.0,14.2,1
S00191,27,Left,261.8,101.0,96.5,65.8,42.8,40.3,37.6,32.8,32.1,31.9,38.58,0.12,22.4,11.4,1
S00192,21,Left,236.4,90.4,80.0,59.4,38.5,36.1,32.5,28.2,26.7,29.2,38.24,0.12,22.8,11.6,0
S00193,25,Right,234.2,95.4,85.3,57.1,35.4,32.9,31.5,32.5,27.7,29.4,40.73,0.13,21.7,12.0,0
S00194,29,Left,254.3,95.9,81.5,58.2,43.0,39.3,32.6,33.6,27.8,30.6,37.71,0.12,19.5,12.4,0
S00195,18,Right,266.9,104.8,90.1,67.9,46.2,42.5,33.7,30.4,25.7,28.7,39.27,0.11,22.8,10.9,1
S00196,19,Left,282.6,104.6,101.0,69.6,46.3,44.0,39.1,30.1,30.0,33.4,37.01,0.12,19.6,11.6,1
S00197,18,Right,266.4,95.1,85.6,55.9,40.9,41.0,34.0,33.9,29.1,31.1,35.7,0.12,21.9,9.1,0
S00198,23,Right,243.6,99.6,82.1,55.5,36.4,34.7,34.3,29.5,27.2,28.0,40.89,0.12,18.5,7.9,0
S00199,24,Left,242.9,91.7,83.7,61.1,38.0,36.3,35.4,28.7,25.9,30.3,37.75,0.12,24.5,7.5,0
S00200,18,Left,264.8,91.9,84.9,60.1,38.3,37.0,34.0,34.4,31.0,29.6,34.71,0.11,22.5,9.7,0
S00201,32,Right,245.1,97.2,87.0,56.2,37.8,34.3,29.1,31.1,26.4,29.8,39.66,0.12,20.1,10.5,0
S00202,33,Left,297.0,100.5,98.7,68.1,44.1,42.8,40.9,33.3,27.7,27.5,33.84,0.09,22.8,11.0,1
S00203,21,Left,263.0,105.0,96.3,66.6,40.3,40.7,35.7,33.6,28.7,31.9,39.92,0.12,22.0,11.8,1
